regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
BSU04730	BSU02100	2.0	2.0	0.96841446800974951	0.99999803935216269	1
BSU04730	BSU18510	2.0	2.0	0.9535644995914041	0.99998921643689509	1
BSU04730	BSU09690	2.0	2.0	0.95150480837926543	0.99998627546513918	1
BSU04730	BSU24750	2.0	2.0	0.94890582659695455	0.99997941319770878	1
BSU04730	BSU28340	2.0	2.0	0.95257882749939438	0.99997745254987158	1
BSU04730	BSU10430	2.0	2.0	0.94550004967144385	0.99997647222595287	1
BSU04160	BSU03990	2.0	2.0	0.94805080511229112	0.99997549190203427	1
BSU38220	BSU38229	2.0	2.0	0.94188209538295342	0.99997059028244117	1
BSU04730	BSU07850	2.0	2.0	0.94142502449907162	0.99996862963460387	1
BSU25810	BSU25790	2.0	2.0	0.94567703316205853	0.99996862963460387	1
BSU22440	BSU30240	2.0	2.0	0.94363708919246436	0.99996764931068527	1
BSU04730	BSU07550	2.0	2.0	0.94220012116032315	0.99996666898676656	1
BSU04730	BSU19150	2.0	2.0	0.94004813845234647	0.99996568866284796	1
BSU04730	BSU40450	2.0	2.0	0.9392101970131751	0.99996470833892936	1
BSU04160	BSU03982	2.0	2.0	0.94078354892319349	0.99996372801501077	1
BSU04730	BSU13160	2.0	2.0	0.93772500063708497	0.99995588542366165	1
BSU25810	BSU25780	2.0	2.0	0.94370306649023106	0.99995588542366165	1
BSU25810	BSU25800	2.0	2.0	0.94390301689385647	0.99995490509974305	1
BSU04730	BSU04380	2.0	2.0	0.93398930323301843	0.99995098380406855	1
BSU32870	BSU32880	2.0	2.0	0.93352885291381416	0.99995000348014995	1
BSU04730	BSU04190	2.0	2.0	0.93704892635527492	0.99994902315623124	1
BSU04730	BSU39840	2.0	2.0	0.932780302562218	0.99994804283231264	1
BSU04730	BSU06590	2.0	2.0	0.94151495056462597	0.99994706250839405	1
BSU04730	BSU07750	2.0	2.0	0.93127207077966534	0.99994118056488224	1
BSU04730	BSU38180	2.0	2.0	0.93353273862054342	0.99994118056488224	1
BSU04730	BSU38830	2.0	2.0	0.931852216506038	0.99993333797353323	1
BSU04730	BSU39050	2.0	2.0	0.92793134233066044	0.99993039700177733	1
BSU19540	BSU19230	2.0	2.0	0.92865860876406059	0.99993039700177733	1
BSU04730	BSU13020	2.0	2.0	0.92840945530194352	0.99992941667785873	1
BSU04730	BSU04200	2.0	2.0	0.92656211268221056	0.99992647570610282	1
BSU04730	BSU38430	2.0	2.0	0.92658347154003151	0.99992353473434692	1
BSU30460	BSU30410	2.0	2.0	0.92528981657952503	0.99992353473434692	1
BSU14380	BSU14390	2.0	2.0	0.92555425761799148	0.99992157408650961	1
BSU15320	BSU19690	2.0	2.0	0.92481173024281305	0.99991863311475382	1
BSU30460	BSU30440	2.0	2.0	0.92529704940595991	0.99991765279083511	1
BSU04730	BSU04340	2.0	2.0	0.92570935125751308	0.99991667246691651	1
