regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
BSU07220	BSU07230	-20.0	20.0	0.94212595062100701	0.99952754404476285	-1
BSU00470	BSU06460	-20.0	20.0	0.94442907334021786	0.99952646425762226	-1
BSU08100	BSU08090	20.0	20.0	0.94956019096931454	0.99952636609515499	1
BSU26580	BSU26600	20.0	20.0	0.94407453795059748	0.99952587528281833	1
BSU07010	BSU07040	20.0	20.0	0.94439241012715458	0.99952548263294905	1
BSU23520	BSU01620	-20.0	20.0	0.94495994366369307	0.99952155613425597	-1
BSU25760	BSU10910	20.0	20.0	0.94646053175522105	0.99952096715945205	1
BSU16170	BSU12920	-20.0	20.0	0.9471103940794835	0.99951959288490955	-1
BSU15330	BSU03110	20.0	20.0	0.94811062213556796	0.99951949472244217	0
BSU15330	BSU32849	20.0	20.0	0.94656793865480693	0.99951812044789967	0
BSU33680	BSU08230	-20.0	20.0	0.94235902724590059	0.9995166480108898	-1
BSU29400	BSU29310	20.0	20.0	0.94626589801670602	0.99951586271115112	1
BSU16470	BSU07350	20.0	20.0	0.943646295199285	0.99951095458778483	1
BSU15330	BSU23390	20.0	20.0	0.94441138871337094	0.99950908950090567	1
BSU02680	BSU39980	-20.0	20.0	0.94773764827038054	0.99950712625155924	-1
BSU15320	BSU27430	20.0	20.0	0.94362784280019252	0.99950319975286617	1
BSU15330	BSU29910	20.0	20.0	0.9441243990895416	0.9995024144531276	0
BSU25100	BSU03359	-20.0	20.0	0.94347580167165157	0.99949937141664047	0
BSU15330	BSU09140	20.0	20.0	0.9448402415011441	0.99949632838015334	1
BSU15320	BSU00160	20.0	20.0	0.94222651123645651	0.99949377615600299	1
BSU15320	BSU06900	20.0	20.0	0.94552223958049753	0.99948837722030004	1
BSU23520	BSU01610	-20.0	20.0	0.94425418767054548	0.99948631580848624	-1
BSU37310	BSU37290	20.0	20.0	0.94149518563200352	0.99948543234628029	1
BSU23590	BSU23580	-20.0	20.0	0.94891259986554943	0.99948474520900898	-1
BSU25760	BSU30910	20.0	20.0	0.94360670801509294	0.99947777567382889	1
BSU23520	BSU01600	-20.0	20.0	0.94258323444733549	0.99947345652526653	-1
BSU25760	BSU10920	20.0	20.0	0.94293899592130204	0.99946992267644286	1
BSU15330	BSU37190	20.0	20.0	0.94227476839248703	0.99946845023943298	0
BSU15330	BSU03700	20.0	20.0	0.94077344893038106	0.99946148070425289	1
BSU12560	BSU12770	20.0	20.0	0.9400173743077731	0.99945794685542921	0
BSU33950	BSU33910	-20.0	20.0	0.94227631313195692	0.99945794685542921	-1
BSU32560	BSU32580	-20.0	20.0	0.94013312052783504	0.99945765236802719	-1
BSU00470	BSU06470	-20.0	20.0	0.93993871283527797	0.99945647441841934	-1
BSU15320	BSU40950	20.0	20.0	0.94122064309375753	0.99945598360608268	0
BSU15330	BSU18290	20.0	20.0	0.94140340195328243	0.99945078099531437	0
BSU08340	BSU34410	-20.0	20.0	0.93991545382910302	0.99944773795882735	-1
BSU25760	BSU30890	20.0	20.0	0.94145079745648896	0.99944420411000356	1
BSU25760	BSU10950	20.0	20.0	0.94310836197694448	0.99944145556091846	1
BSU08100	BSU08060	20.0	20.0	0.95568412516673606	0.99944135739845119	1
BSU25760	BSU30900	20.0	20.0	0.93924257351122598	0.99944096474858191	1
BSU25760	BSU19600	20.0	20.0	0.94045071794596802	0.9994357621378136	1
BSU25760	BSU11799	20.0	20.0	0.95476457785539148	0.99943478051314039	0
BSU15330	BSU22869	20.0	20.0	0.94157377677449494	0.9994337007259998	0
BSU29400	BSU29300	20.0	20.0	0.93978538205677209	0.99943262093885921	1
BSU15320	BSU27970	20.0	20.0	0.93944562467171355	0.99943262093885921	1
BSU29400	BSU29290	20.0	20.0	0.93889190016771595	0.99942947973990481	1
BSU36600	BSU26600	20.0	20.0	0.93750573964526696	0.99942643670341769	1
BSU12560	BSU12760	20.0	20.0	0.93669813508795152	0.99942476794147317	0
BSU29400	BSU29320	20.0	20.0	0.93692048170262754	0.99942260836719199	1
BSU24100	BSU24050	20.0	20.0	0.93905777881169594	0.99941887819343367	1
BSU25100	BSU03340	-20.0	20.0	0.93802011922719897	0.99941828921862974	-1
BSU27520	BSU29280	-20.0	20.0	0.93957722225047402	0.99941593331941392	-1
BSU25760	BSU10940	20.0	20.0	0.94129518409509949	0.99941514801967524	1
BSU10420	BSU35470	20.0	20.0	0.93766935753315905	0.99941495169474059	1
BSU29400	BSU29280	20.0	20.0	0.93790287527462057	0.99940965092150502	1
BSU15320	BSU19259	20.0	20.0	0.9360131680622944	0.99940709869735456	0
BSU15320	BSU09780	20.0	20.0	0.93403429405830507	0.99940650972255063	1
BSU10560	BSU10550	20.0	20.0	0.93982726930968097	0.99940611707268134	1
