regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
BSU22440	BSU30230	-2.0	2.0	0.99529001397956951	1.0	-1
BSU22440	BSU30220	-2.0	2.0	0.9943405870759161	0.99999803708149348	-1
BSU22440	BSU30210	-2.0	2.0	0.99337518765241195	0.99999607416298697	-1
BSU22440	BSU30200	-2.0	2.0	0.98915350307120209	0.99999411124448057	-1
BSU22440	BSU30190	-2.0	2.0	0.98641825283617646	0.99998822248896102	-1
BSU37650	BSU33430	2.0	2.0	0.98545183624538102	0.99998822248896102	1
BSU15320	BSU14810	2.0	2.0	0.98685115560145953	0.99998625957045451	0
BSU37650	BSU33440	2.0	2.0	0.98495012094922152	0.99998233373344159	1
BSU03620	BSU03640	2.0	2.0	0.98531385560965157	0.99998233373344159	1
BSU24520	BSU30760	-2.0	2.0	0.98407824717832815	0.99997938935568187	-1
BSU40540	BSU07830	2.0	2.0	0.98365241349078159	0.99997742643717535	1
BSU24520	BSU30750	-2.0	2.0	0.98348814438252508	0.99997742643717535	-1
BSU22440	BSU30240	-2.0	2.0	0.98379178767154307	0.99996957476314929	-1
BSU27890	BSU27870	-2.0	2.0	0.98177626678347008	0.99995877871136363	-1
BSU15330	BSU03930	2.0	2.0	0.97961330873276742	0.99995877871136363	1
BSU13150	BSU13140	-2.0	2.0	0.98037362919208748	0.99995877871136363	-1
BSU24520	BSU30740	-2.0	2.0	0.97980241610205554	0.99995681579285711	-1
BSU24250	BSU11230	-2.0	2.0	0.98074801937425349	0.9999548528743506	-1
BSU27890	BSU27860	-2.0	2.0	0.98132407530582655	0.99995288995584419	-1
BSU15320	BSU14250	2.0	2.0	0.97856504648734388	0.99995092703733768	1
BSU12560	BSU12600	2.0	2.0	0.97781391057410405	0.99994700120032465	1
BSU19200	BSU19180	2.0	2.0	0.97696528173711306	0.99993718660779218	1
BSU15320	BSU11790	2.0	2.0	0.97674871926575746	0.99993522368928567	1
BSU12560	BSU12630	2.0	2.0	0.976811763437192	0.99993326077077926	1
BSU12560	BSU12650	2.0	2.0	0.97596464240592495	0.99992933493376623	1
BSU25760	BSU16730	2.0	2.0	0.97580839316177903	0.9999254090967532	1
BSU24250	BSU11240	-2.0	2.0	0.97850707526711045	0.9999254090967532	-1
